msg_size,capacity,producers,rate,full_policy,strategy,metric,n_trials,mean,ci95_halfwidth,stdev,cv_percent,min,median,max
64,8192,1,max,Block,crossbeam,p50_ns,12,129.3333,39.2011,61.6977,47.70,90.0000,102.5000,281.0000
64,8192,1,max,Block,crossbeam,p99_ns,12,1659.5833,513.8290,808.7033,48.73,1071.0000,1282.0000,3475.0000
64,8192,1,max,Block,crossbeam,p999_ns,12,6534.8333,2606.5408,4102.3726,62.78,4061.0000,4881.0000,17551.0000
64,8192,1,max,Block,crossbeam,max_ns,12,60832.3333,27003.5963,42500.3188,69.86,21759.0000,49231.0000,157055.0000
64,8192,1,max,Block,crossbeam,mean_ns,12,278.2700,83.7895,131.8743,47.39,203.5207,226.3600,561.3781
64,8192,1,max,Block,crossbeam,throughput,12,3364482.8465,521570.8356,820887.9482,24.40,1617269.4621,3670007.8250,3994956.7666
64,8192,1,max,Block,crossbeam,mb_per_sec,12,215.3269,33.3805,52.5368,24.40,103.5052,234.8805,255.6772
64,8192,1,max,Block,crossbeam,dropped,12,0.0000,0.0000,0.0000,nan,0.0000,0.0000,0.0000
64,8192,1,max,Block,direct,p50_ns,12,40.6667,1.4673,2.3094,5.68,40.0000,40.0000,48.0000
64,8192,1,max,Block,direct,p99_ns,12,48.3333,6.1502,9.6797,20.03,41.0000,46.0000,77.0000
64,8192,1,max,Block,direct,p999_ns,12,7612.4167,3242.9249,5103.9625,67.05,217.0000,10191.0000,14191.0000
64,8192,1,max,Block,direct,max_ns,12,40239.0000,19831.9809,31213.0837,77.57,17023.0000,32983.0000,130559.0000
64,8192,1,max,Block,direct,mean_ns,12,56.1332,3.6841,5.7983,10.33,51.1176,54.1172,71.2739
64,8192,1,max,Block,direct,throughput,12,10445698.4152,496369.6664,781224.4266,7.48,8331944.6759,10714658.1609,11264254.9146
64,8192,1,max,Block,direct,mb_per_sec,12,668.5247,31.7677,49.9984,7.48,533.2445,685.7381,720.9123
64,8192,1,max,Block,direct,dropped,12,0.0000,0.0000,0.0000,nan,0.0000,0.0000,0.0000
64,8192,1,max,Block,env_logger,p50_ns,12,771.2500,14.8444,23.3632,3.03,717.0000,780.0000,788.0000
64,8192,1,max,Block,env_logger,p99_ns,12,2730.6667,106.4548,167.5466,6.14,2517.0000,2731.0000,3095.0000
64,8192,1,max,Block,env_logger,p999_ns,12,18881.6667,624.8842,983.4904,5.21,17391.0000,18839.0000,20639.0000
64,8192,1,max,Block,env_logger,max_ns,12,84689.6667,15998.6602,25179.9113,29.73,35743.0000,89727.0000,126975.0000
64,8192,1,max,Block,env_logger,mean_ns,12,871.4675,12.3844,19.4916,2.24,839.2298,871.3641,913.4877
64,8192,1,max,Block,env_logger,throughput,12,1086314.6288,17520.0853,27574.4461,2.54,1030347.4945,1083079.6755,1131873.5070
64,8192,1,max,Block,env_logger,mb_per_sec,12,69.5241,1.1213,1.7648,2.54,65.9422,69.3171,72.4399
64,8192,1,max,Block,env_logger,dropped,12,0.0000,0.0000,0.0000,nan,0.0000,0.0000,0.0000
64,8192,1,max,Block,fern,p50_ns,12,545.3333,14.7681,23.2431,4.26,533.0000,535.5000,597.0000
64,8192,1,max,Block,fern,p99_ns,12,2565.8333,265.5620,417.9617,16.29,2213.0000,2410.0000,3753.0000
64,8192,1,max,Block,fern,p999_ns,12,6170.3333,540.2086,850.2215,13.78,5067.0000,6165.0000,7595.0000
64,8192,1,max,Block,fern,max_ns,12,75593.6667,12960.7967,20398.6901,26.98,43167.0000,77183.0000,106751.0000
64,8192,1,max,Block,fern,mean_ns,12,634.0522,15.0368,23.6660,3.73,604.2625,626.6079,682.6484
64,8192,1,max,Block,fern,throughput,12,1469782.6475,32981.1143,51908.1923,3.53,1382627.6022,1486471.1324,1539385.6435
64,8192,1,max,Block,fern,mb_per_sec,12,94.0661,2.1108,3.3221,3.53,88.4882,95.1342,98.5207
64,8192,1,max,Block,fern,dropped,12,0.0000,0.0000,0.0000,nan,0.0000,0.0000,0.0000
64,8192,1,max,Block,flexi_logger,p50_ns,12,256.2500,35.7129,56.2076,21.93,215.0000,232.0000,402.0000
64,8192,1,max,Block,flexi_logger,p99_ns,12,2671.1667,314.1552,494.4414,18.51,2383.0000,2491.0000,3897.0000
64,8192,1,max,Block,flexi_logger,p999_ns,12,18507.0000,920.5498,1448.8315,7.83,17311.0000,18015.0000,21599.0000
64,8192,1,max,Block,flexi_logger,max_ns,12,79180.3333,23935.6824,37671.8020,47.58,35199.0000,76799.0000,146559.0000
64,8192,1,max,Block,flexi_logger,mean_ns,12,410.0904,38.9706,61.3349,14.96,370.8849,385.1414,580.2631
64,8192,1,max,Block,flexi_logger,throughput,12,2215887.9884,179769.7709,282935.3720,12.77,1605778.4902,2342029.7474,2424662.4052
64,8192,1,max,Block,flexi_logger,mb_per_sec,12,141.8168,11.5053,18.1079,12.77,102.7698,149.8899,155.1784
64,8192,1,max,Block,flexi_logger,dropped,12,0.0000,0.0000,0.0000,nan,0.0000,0.0000,0.0000
64,8192,1,max,Block,flume,p50_ns,12,121.5833,33.4407,52.6316,43.29,92.0000,94.0000,238.0000
64,8192,1,max,Block,flume,p99_ns,12,15147.0000,688.9231,1084.2797,7.16,14071.0000,14699.0000,17375.0000
64,8192,1,max,Block,flume,p999_ns,12,22747.0000,2131.9902,3355.4887,14.75,19119.0000,21751.0000,28447.0000
